official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
USA 262,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20446,20459,0.000242,54.9,728.96,1630,980,1136,7/15/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730
USA 239,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20174,20191,0.00032,54.95,718,1630,980,1136,10/4/2012,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833
USA 242,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20184,20247,0.00118,55.09,719.32,1630,980,1136,5/15/2013,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166
USA 248,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20457,20469,0.000224,54.98,729.39,1630,980,1136,2/21/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533
USA 251,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20174,20188,0.000264,55.05,717.92,1630,980,1136,5/17/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741
USA 256,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20471,20476,0.0000931,54.92,729,1630,980,1136,8/2/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105
USA 258,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20155,20211,0.00105,54.97,718.02,1630,980,1136,10/29/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294
USA 260,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20445,20469,0.000447,55,729.14,1630,980,1136,3/25/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534
USA 175,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19963,20327,0.00686,55.1,716.47,2217,980,1136,12/21/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-058A,28129
USA 177,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20089,20276,0.00352,55,717.98,2217,980,1136,3/20/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-009A,28190
USA 178,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20072,20292,0.00414,55.37,717.96,2217,980,1136,6/23/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-023A,28361
USA 180,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,19938,20426,0.00919,54.8,718,2217,980,1136,11/6/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-045A,28474
USA 132,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20123,20247,0.00233,54.9,718.09,2217,980,1136,7/23/1997,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,1997-035A,24876
USA 145,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20096,20268,0.00324,53,717.97,2217,980,1136,10/7/1999,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,1999-055A,25933
USA 150,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20133,20234,0.0019,54.9,718.03,2217,980,1136,5/11/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-025A,26360
USA 151,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20184,20427,0.00455,55,722.98,2217,980,1136,7/16/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-040A,26407
USA 154,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20177,20498,0.00601,55,724.28,2217,980,1136,11/10/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-071A,26605
USA 156,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20104,20266,0.00305,55,718.09,2217,980,1136,1/30/2001,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2001-004A,26690
USA 166,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20155,20344,0.00355,55,720.71,2217,980,1136,1/29/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-005A,27663
USA 168,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20063,20433,0.00695,54.9,720.65,2217,980,1136,3/31/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-010A,27704
USA 183,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20142,20221,0.00149,55.08,717.95,2217,980,1136,9/26/2005,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2005-038A,28874
USA 196,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20149,20213,0.00121,54.8,717.93,2217,980,1136,10/17/2007,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2007-047A,32260
USA 201,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20135,20152,0.000321,55.1,716.4,2217,980,1136,3/15/2008,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2008-012A,32711
USA 206,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20160,20209,0.000923,55.12,718.07,2059,980,1136,8/17/2009,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2009-043A,35752
ORBCOMM FM-103,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,620,741,0.00858,47,98.36,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040F,40091
ORBCOMM FM-104,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,619,741,0.00865,47,98.36,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040E,40090
ORBCOMM FM-105,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,658,0.00314,47,97.44,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081C,41181
ORBCOMM FM-106,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,620,740,0.00851,47,98.34,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040C,40088
ORBCOMM FM-107,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,620,739,0.00844,47,98.34,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040B,40087
ORBCOMM FM-108,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,657,0.00307,47,97.42,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081J,41187
ORBCOMM FM-109,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,620,739,0.00844,47,98.34,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040A,40086
ORBCOMM FM-110,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,615,658,0.00307,47,97.44,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081D,41182
ORBCOMM FM-111,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,619,740,0.00858,47,98.35,172,980,400,7/14/2014,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040D,40089
ORBCOMM FM-112,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,657,0.00307,47,97.43,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081F,41184
ORBCOMM FM-113,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,656,0.003,47,97.41,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081G,41185
ORBCOMM FM-114,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,658,0.00314,47,97.43,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081A,41179
ORBCOMM FM-115,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,613,655,0.003,47,97.39,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081H,41186
ORBCOMM FM-116,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,654,0.00286,47,97.4,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081L,41189
ORBCOMM FM-117,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,656,0.003,47,97.42,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081K,41188
ORBCOMM FM-118,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,615,658,0.00307,47,97.44,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081E,41183
ORBCOMM FM-119,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,614,658,0.00314,47,97.43,172,980,400,12/22/2015,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081B,41180
Iridium 54,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,1200,556,1400,2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010C,25171
Iridium 10,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,6/18/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030D,24839
Iridium 11A,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,12/19/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074B,25578
Iridium 12,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,6/18/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030B,24837
Iridium 13,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,6/18/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030E,24840
Iridium 15,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,7/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034A,24869
Iridium 18,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,7/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034D,24872
Iridium 19,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/27/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056A,24965
Iridium 20A,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,12/19/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074A,25577
Iridium 21A,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,775,780,0.00035,86.4,100.4,689,556,1400,6/11/1999,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032B,25778
Iridium 22,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,8/21/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043E,24907
Iridium 23,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,8/21/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043D,24906
Iridium 25,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,8/21/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043B,24904
Iridium 3,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,8/19/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048A,25431
Iridium 30,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/14/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051F,24949
Iridium 31,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/14/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051G,24950
Iridium 32,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/14/1997,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051B,24945
Iridium 34,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/27/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056E,24969
Iridium 35,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/27/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056B,24966
Iridium 37,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,9/27/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056D,24968
Iridium 39,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,11/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069D,25042
Iridium 40,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,11/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069C,25041
Iridium 41,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,11/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069B,25040
Iridium 42,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,12/8/1997,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1997-077A,25077
Iridium 43,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,11/9/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069A,25039
Iridium 45,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,12/20/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082A,25104
Iridium 46,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,8/21/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043C,24905
Iridium 47,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,12/20/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082C,25106
Iridium 49,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,12/20/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082E,25108
Iridium 5,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,5/5/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020D,24795
Iridium 50,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010D,25172
Iridium 51,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/25/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018A,25262
Iridium 52,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010A,25169
Iridium 53,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010E,25173
Iridium 55,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019A,25272
Iridium 56,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010B,25170
Iridium 57,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019B,25273
Iridium 58,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019C,25274
Iridium 59,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019D,25275
Iridium 6,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,86.4,100.4,689,556,1400,5/6/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020C,24794
Iridium 60,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019E,25276
Iridium 61,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,3/25/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263
Iridium 62,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021A,25285
Iridium 64,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021C,25287
Iridium 65,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021D,25288
Iridium 66,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021E,25289
Iridium 67,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021F,25290
Iridium 68,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021G,25291
Iridium 7,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,5/5/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020B,24793
Iridium 70,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.3,100.4,689,556,1400,5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032A,25342
Iridium 72,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,86.4,100.4,689,556,1400,5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032B,25343
